SECT,Sector,CLAS,Classification,COU,Country,YEA,Year,EEA_STRI,Flag Codes,Flags
ASSOU,Sound recording,STRI,Indicator STRI,AUT,Austria,2016,2016,0.088099934,,
ASSOU,Sound recording,STRI,Indicator STRI,AUT,Austria,2017,2017,0.088099934,,
ASSOU,Sound recording,STRI,Indicator STRI,AUT,Austria,2018,2018,0.088099934,,
TC,Telecom,STRI,Indicator STRI,AUT,Austria,2018,2018,0.048040096,,
TRAIR,Air transport,STRI,Indicator STRI,AUT,Austria,2014,2014,0.157769948,,
TRAIR,Air transport,STRI,Indicator STRI,AUT,Austria,2015,2015,0.157769948,,
TRAIR,Air transport,STRI,Indicator STRI,AUT,Austria,2016,2016,0.157769948,,
TRAIR,Air transport,STRI,Indicator STRI,AUT,Austria,2017,2017,0.157769948,,
TRAIR,Air transport,STRI,Indicator STRI,AUT,Austria,2018,2018,0.157769948,,
TRROF,Road freight transport,STRI,Indicator STRI,AUT,Austria,2014,2014,0.036363635,,
TRROF,Road freight transport,STRI,Indicator STRI,AUT,Austria,2015,2015,0.036363635,,
TRROF,Road freight transport,STRI,Indicator STRI,AUT,Austria,2016,2016,0.036363635,,
TRROF,Road freight transport,STRI,Indicator STRI,AUT,Austria,2017,2017,0.036363635,,
TRROF,Road freight transport,STRI,Indicator STRI,AUT,Austria,2018,2018,0.036363635,,
TRRAI,Rail freight transport,STRI,Indicator STRI,AUT,Austria,2014,2014,0.117788874,,
TRRAI,Rail freight transport,STRI,Indicator STRI,AUT,Austria,2015,2015,0.117788874,,
TRRAI,Rail freight transport,STRI,Indicator STRI,AUT,Austria,2016,2016,0.117788874,,
TRRAI,Rail freight transport,STRI,Indicator STRI,AUT,Austria,2017,2017,0.117788874,,
TRRAI,Rail freight transport,STRI,Indicator STRI,AUT,Austria,2018,2018,0.117788874,,
CR,Courier,STRI,Indicator STRI,AUT,Austria,2014,2014,0.099754095,,
CR,Courier,STRI,Indicator STRI,AUT,Austria,2015,2015,0.099754095,,
CR,Courier,STRI,Indicator STRI,AUT,Austria,2016,2016,0.099754095,,
CR,Courier,STRI,Indicator STRI,AUT,Austria,2017,2017,0.099754095,,
CR,Courier,STRI,Indicator STRI,AUT,Austria,2018,2018,0.099754095,,
DS,Distribution,STRI,Indicator STRI,AUT,Austria,2014,2014,0.07348647,,
DS,Distribution,STRI,Indicator STRI,AUT,Austria,2015,2015,0.07348647,,
DS,Distribution,STRI,Indicator STRI,AUT,Austria,2016,2016,0.07348647,,
DS,Distribution,STRI,Indicator STRI,AUT,Austria,2017,2017,0.07348647,,
DS,Distribution,STRI,Indicator STRI,AUT,Austria,2018,2018,0.07348647,,
FSBNK,Commercial banking,STRI,Indicator STRI,AUT,Austria,2014,2014,0.078936562,,
FSBNK,Commercial banking,STRI,Indicator STRI,AUT,Austria,2015,2015,0.078936562,,
FSBNK,Commercial banking,STRI,Indicator STRI,AUT,Austria,2016,2016,0.078936562,,
FSBNK,Commercial banking,STRI,Indicator STRI,AUT,Austria,2017,2017,0.078936562,,
FSBNK,Commercial banking,STRI,Indicator STRI,AUT,Austria,2018,2018,0.078936562,,
FSINS,Insurance,STRI,Indicator STRI,AUT,Austria,2014,2014,0.043572087,,
FSINS,Insurance,STRI,Indicator STRI,AUT,Austria,2015,2015,0.043572087,,
FSINS,Insurance,STRI,Indicator STRI,AUT,Austria,2016,2016,0.043572087,,
FSINS,Insurance,STRI,Indicator STRI,AUT,Austria,2017,2017,0.043572087,,
FSINS,Insurance,STRI,Indicator STRI,AUT,Austria,2018,2018,0.043572087,,
CS,Computer,STRI,Indicator STRI,AUT,Austria,2014,2014,0.090891682,,
CS,Computer,STRI,Indicator STRI,AUT,Austria,2015,2015,0.090891682,,
CS,Computer,STRI,Indicator STRI,AUT,Austria,2016,2016,0.090891682,,
CS,Computer,STRI,Indicator STRI,AUT,Austria,2017,2017,0.090891682,,
CS,Computer,STRI,Indicator STRI,AUT,Austria,2018,2018,0.090891682,,
CO,Construction,STRI,Indicator STRI,AUT,Austria,2014,2014,0.074587211,,
CO,Construction,STRI,Indicator STRI,AUT,Austria,2015,2015,0.074587211,,
CO,Construction,STRI,Indicator STRI,AUT,Austria,2016,2016,0.074587211,,
CO,Construction,STRI,Indicator STRI,AUT,Austria,2017,2017,0.074587211,,
CO,Construction,STRI,Indicator STRI,AUT,Austria,2018,2018,0.074587211,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.095706217,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.095706217,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.085649721,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.085649721,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.085649721,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.069686413,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.069686413,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.069686413,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.069686413,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.069686413,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.051843788,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.051843788,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.051843788,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.051843788,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.051843788,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.062314916,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.062314916,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.062314916,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.062314916,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.062314916,,
PSACC,Accounting,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.126529366,,
PSACC,Accounting,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.126529366,,
PSACC,Accounting,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.126529366,,
PSACC,Accounting,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.126529366,,
PSACC,Accounting,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.126529366,,
PSARC,Architecture,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.1308029,,
PSARC,Architecture,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.1308029,,
PSARC,Architecture,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.1308029,,
PSARC,Architecture,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.1308029,,
PSARC,Architecture,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.1308029,,
PSENG,Engineering,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.04904671,,
PSENG,Engineering,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.04904671,,
PSENG,Engineering,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.04904671,,
PSENG,Engineering,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.04904671,,
PSENG,Engineering,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.04904671,,
PSLEG,Legal,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.080543704,,
PSLEG,Legal,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.080543704,,
PSLEG,Legal,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.080543704,,
PSLEG,Legal,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.080543704,,
PSLEG,Legal,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.080543704,,
ASMOT,Motion pictures,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.046296295,,
ASMOT,Motion pictures,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.046296295,,
ASMOT,Motion pictures,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.046296295,,
ASMOT,Motion pictures,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.046296295,,
ASMOT,Motion pictures,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.046296295,,
ASBRD,Broadcasting,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.084320873,,
ASSOU,Sound recording,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.099934258,,
ASSOU,Sound recording,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.099934258,,
ASSOU,Sound recording,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.099934258,,
ASSOU,Sound recording,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.099934258,,
ASSOU,Sound recording,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.099934258,,
TC,Telecom,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.077159949,,
TRAIR,Air transport,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.164164096,,
TRMAR,Maritime transport,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.038732395,,
TRMAR,Maritime transport,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.038732395,,
TRMAR,Maritime transport,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.038732395,,
TRMAR,Maritime transport,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.038732395,,
TRMAR,Maritime transport,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.038732395,,
TRROF,Road freight transport,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.02121212,,
TRRAI,Rail freight transport,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.107271925,,
TRRAI,Rail freight transport,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.107271925,,
TRRAI,Rail freight transport,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.077934965,,
TRRAI,Rail freight transport,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.077934965,,
TRRAI,Rail freight transport,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.077934965,,
CR,Courier,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.103068531,,
CR,Courier,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.103068531,,
CR,Courier,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.103068531,,
CR,Courier,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.103068531,,
CR,Courier,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.103068531,,
DS,Distribution,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.09270975,,
DS,Distribution,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.09270975,,
DS,Distribution,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.09270975,,
DS,Distribution,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.09270975,,
DS,Distribution,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.09270975,,
FSBNK,Commercial banking,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.077780657,,
FSBNK,Commercial banking,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.077780657,,
FSBNK,Commercial banking,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.077780657,,
FSBNK,Commercial banking,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.077780657,,
FSBNK,Commercial banking,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.077780657,,
FSINS,Insurance,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.040423494,,
FSINS,Insurance,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.040423494,,
FSINS,Insurance,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.040423494,,
FSINS,Insurance,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.040423494,,
FSINS,Insurance,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.040423494,,
CS,Computer,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.072156325,,
CS,Computer,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.072156325,,
CS,Computer,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.072156325,,
CS,Computer,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.072156325,,
CS,Computer,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.072156325,,
CO,Construction,STRI,Indicator STRI,BEL,Belgium,2014,2014,0.063883558,,
CO,Construction,STRI,Indicator STRI,BEL,Belgium,2015,2015,0.063883558,,
CO,Construction,STRI,Indicator STRI,BEL,Belgium,2016,2016,0.063883558,,
CO,Construction,STRI,Indicator STRI,BEL,Belgium,2017,2017,0.063883558,,
CO,Construction,STRI,Indicator STRI,BEL,Belgium,2018,2018,0.063883558,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.086591341,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.086591341,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.086591341,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.086591341,,
LSCAR,Logistics cargo-handling,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.075593226,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.081380911,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.081380911,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.081380911,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.081380911,,
LSSTG,Logistics storage and warehouse,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.069686413,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.06508822,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.06508822,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.06508822,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.06508822,,
LSFGT,Logistics freight forwarding,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.051843788,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.074667908,,
LSCUS,Logistics customs brokerage,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.062314916,,
PSACC,Accounting,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.086969554,,
PSACC,Accounting,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.086969554,,
PSACC,Accounting,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.086969554,,
PSACC,Accounting,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.086969554,,
PSACC,Accounting,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.078140065,,
PSARC,Architecture,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.08744511,,
PSARC,Architecture,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.08744511,,
PSARC,Architecture,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.08744511,,
PSARC,Architecture,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.08744511,,
PSARC,Architecture,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.074150823,,
PSENG,Engineering,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.064562544,,
PSENG,Engineering,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.064562544,,
PSENG,Engineering,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.064562544,,
PSENG,Engineering,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.064562544,,
PSENG,Engineering,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.051239818,,
PSLEG,Legal,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.150951326,,
PSLEG,Legal,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.150951326,,
PSLEG,Legal,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.150951326,,
PSLEG,Legal,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.150951326,,
PSLEG,Legal,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.142979473,,
ASMOT,Motion pictures,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.053415544,,
ASMOT,Motion pictures,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.053415544,,
ASMOT,Motion pictures,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.053415544,,
ASMOT,Motion pictures,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.053415544,,
ASMOT,Motion pictures,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.043753706,,
ASBRD,Broadcasting,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.084320873,,
ASBRD,Broadcasting,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.078243695,,
ASSOU,Sound recording,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.092044711,,
ASSOU,Sound recording,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.092044711,,
ASSOU,Sound recording,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.092044711,,
ASSOU,Sound recording,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.092044711,,
ASSOU,Sound recording,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.078238003,,
TC,Telecom,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.07352823,,
TRAIR,Air transport,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.164164096,,
TRAIR,Air transport,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.15906316,,
TRROF,Road freight transport,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.02121212,,
TRROF,Road freight transport,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.018181818,,
TRRAI,Rail freight transport,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.121940404,,
TRRAI,Rail freight transport,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.121940404,,
TRRAI,Rail freight transport,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.121940404,,
TRRAI,Rail freight transport,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.107271925,,
TRRAI,Rail freight transport,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.095962077,,
CR,Courier,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.077622153,,
CR,Courier,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.077622153,,
CR,Courier,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.077622153,,
CR,Courier,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.077622153,,
CR,Courier,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.066716567,,
DS,Distribution,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.055966519,,
DS,Distribution,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.055966519,,
DS,Distribution,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.055966519,,
DS,Distribution,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.055966519,,
DS,Distribution,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.055966519,,
FSBNK,Commercial banking,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.059924867,,
FSBNK,Commercial banking,STRI,Indicator STRI,CZE,Czech Republic,2015,2015,0.059924867,,
FSBNK,Commercial banking,STRI,Indicator STRI,CZE,Czech Republic,2016,2016,0.059924867,,
FSBNK,Commercial banking,STRI,Indicator STRI,CZE,Czech Republic,2017,2017,0.059924867,,
FSBNK,Commercial banking,STRI,Indicator STRI,CZE,Czech Republic,2018,2018,0.049841065,,
FSINS,Insurance,STRI,Indicator STRI,CZE,Czech Republic,2014,2014,0.034310441,,
